id,cust_id_occurrence_count,canceled_line_flag,cust_cancellation_count,line_subscription_duration_days,line_one_time_purchase_flag,first_cust_sale_date,last_cust_sale_date,repeat_cust_flag,count_of_unique_lifetime_products,first_subscription_flag,subscription_occurrence_count,total_cust_lifetime_length_days,customer_subscription_change_flag,product_id,user_id,plan_start_type,plan_end_type,plan_start_date,plan_end_date,product_name,product_type,quantity,price,starter_set_count,other_set_count,blade_count,handle_count,shave_gel_count,shave_cream_count,face_wash_count,aftershave_count,lip_balm_count,razor_stand_count,face_lotion_count,travel_kit_count
1474035,3,False,0,193.8,False,2016-07-22 19:58:51.417,2016-08-13 01:36:23.998,True,2,False,3,193.8,False,513,44155,system,on_going,2016-07-22 19:58:56.984,2017-02-01 14:24:00.000,RazorBlades,Blades,1,25,0,0,16,0,0,0,0,0,0,0,0,0
1547023,3,False,0,172.5,False,2016-07-22 19:58:51.417,2016-08-13 01:36:23.998,True,2,True,3,193.8,False,511,44155,web,on_going,2016-08-13 01:36:23.998,2017-02-01 14:24:00.000,BladesPlan,Blades,1,15,0,0,8,0,0,0,0,0,0,0,0,0
1493405,1,True,1,165.89,False,2016-07-28 06:02:49.057,2016-07-28 06:02:49.057,False,1,True,1,165.9,False,511,49526,web,web,2016-07-28 06:02:49.057,2017-01-10 03:23:05.580,BladesPlan,Blades,1,15,0,0,8,0,0,0,0,0,0,0,0,0
1539095,1,True,1,117.06,False,2016-08-10 20:02:59.016,2016-08-10 20:02:59.016,False,1,True,1,117.1,False,511,52992,web,web,2016-08-10 20:02:59.016,2016-12-05 21:31:19.158,BladesPlan,Blades,1,15,0,0,8,0,0,0,0,0,0,0,0,0
1582518,4,True,1,56.41,False,2016-08-23 15:33:57.095,2016-10-19 01:28:13.522,True,3,False,4,162.0,True,489,54410,web,web,2016-08-23 15:33:57.095,2016-10-19 01:28:13.533,HarrysBlades,Blades,1,16,0,0,8,0,0,0,0,0,0,0,0,0
1760831,4,False,1,105.5,False,2016-08-23 15:33:57.095,2016-10-19 01:28:13.522,True,3,False,4,162.0,True,489,54410,web,on_going,2016-10-19 01:28:13.503,2017-02-01 14:24:00.000,HarrysBlades,Blades,1,16,0,0,8,0,0,0,0,0,0,0,0,0
1760832,4,False,1,105.5,False,2016-08-23 15:33:57.095,2016-10-19 01:28:13.522,True,3,False,4,162.0,True,318,54410,web,on_going,2016-10-19 01:28:13.513,2017-02-01 14:24:00.000,DailyFaceWash,FaceCare,1,7,0,0,0,0,0,0,1,0,0,0,0,0
1760833,4,False,1,105.5,False,2016-08-23 15:33:57.095,2016-10-19 01:28:13.522,True,3,True,4,162.0,True,511,54410,web,on_going,2016-10-19 01:28:13.522,2017-02-01 14:24:00.000,BladesPlan,Blades,1,15,0,0,8,0,0,0,0,0,0,0,0,0
1481299,1,False,0,191.7,False,2016-07-24 20:35:02.814,2016-07-24 20:35:02.814,False,1,True,1,191.7,False,511,54481,web,on_going,2016-07-24 20:35:02.814,2017-02-01 14:24:00.000,BladesPlan,Blades,1,15,0,0,8,0,0,0,0,0,0,0,0,0
1531603,1,False,0,176.8,False,2016-08-08 19:33:23.675,2016-08-08 19:33:23.675,False,1,True,1,176.8,False,511,60874,web,on_going,2016-08-08 19:33:23.675,2017-02-01 14:24:00.000,BladesPlan,Blades,1,15,0,0,8,0,0,0,0,0,0,0,0,0
1501119,1,False,0,185.7,False,2016-07-30 20:29:06.488,2016-07-30 20:29:06.488,False,1,True,1,185.7,False,511,63456,web,on_going,2016-07-30 20:29:06.488,2017-02-01 14:24:00.000,BladesPlan,Blades,1,15,0,0,8,0,0,0,0,0,0,0,0,0
1515988,1,True,1,38.94,False,2016-08-04 12:47:41.972,2016-08-04 12:47:41.972,False,1,True,1,38.9,False,511,65654,web,web,2016-08-04 12:47:41.972,2016-09-12 11:20:09.225,BladesPlan,Blades,1,15,0,0,8,0,0,0,0,0,0,0,0,0
1496311,1,False,0,187.5,False,2016-07-29 03:21:51.032,2016-07-29 03:21:51.032,False,1,True,1,187.5,False,511,76531,web,on_going,2016-07-29 03:21:51.032,2017-02-01 14:24:00.000,BladesPlan,Blades,1,15,0,0,8,0,0,0,0,0,0,0,0,0
1484118,1,False,0,191.0,False,2016-07-25 14:24:35.936,2016-07-25 14:24:35.936,False,1,True,1,191.0,False,511,84276,web,on_going,2016-07-25 14:24:35.936,2017-02-01 14:24:00.000,BladesPlan,Blades,1,15,0,0,8,0,0,0,0,0,0,0,0,0
1514993,1,False,0,181.6,False,2016-08-04 00:48:20.514,2016-08-04 00:48:20.514,False,1,True,1,181.6,False,511,88147,web,on_going,2016-08-04 00:48:20.514,2017-02-01 14:24:00.000,BladesPlan,Blades,1,15,0,0,8,0,0,0,0,0,0,0,0,0
1522281,1,True,1,82.53,False,2016-08-06 04:15:41.749,2016-08-06 04:15:41.749,False,1,True,1,82.5,False,488,90384,web,admin,2016-08-06 04:15:41.749,2016-10-27 16:55:43.492,HarrysBlades,Blades,1,8,0,0,4,0,0,0,0,0,0,0,0,0
1526910,1,False,0,177.8,False,2016-08-07 18:51:56.704,2016-08-07 18:51:56.704,False,1,True,1,177.8,False,511,90550,web,on_going,2016-08-07 18:51:56.704,2017-02-01 14:24:00.000,BladesPlan,Blades,1,15,0,0,8,0,0,0,0,0,0,0,0,0
